Project,C1: Null Check Introduction,C2: Precondition enforcement (requireNonNull()),C3: Field Initialization,C4: mark elements as final,C5: Method signature modification,C6: Qualified this reference,C7: Method/Constructor definition or Override,C8: Argument modification,C9: Return value modification,C10: Field type modification,//Others:,Others_Info
nameless,0,0,0,17,0,0,0,0,0,0,3,"Not-nullability related annotation|Not-nullability related annotation|Not-nullability related annotation"
table-wrapper-api,3,6,0,0,0,0,0,0,0,0,1,"Removed the interface and used another config annotations later"
butterknife,1,5,0,0,0,0,0,0,0,0,6,"Added parentheses to clarify logical expression precedence|modified the logic of control structures: if and for|Switched from mutable List to ImmutableList|Immutable collection usage|use of ImmutableList|Added @Immutable annotation"
table-wrapper-csv-impl,3,1,3,3,3,0,5,0,1,0,4,"setter and getter methods|change the type of a list|throw exception if there is not next item|dynamic constructor"
cache2k-CFNullness,5,1,0,0,8,0,5,0,2,3,23,"Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Interface Introduction/Modification|Modified config-related annotations|Modified config-related annotations|Modified config-related annotations|Interface Introduction/Modification|Interface Introduction/Modification"
mealPlanner,0,0,18,9,0,17,0,0,2,3,5,"ImmutableMap usage|ImmutableMap usage|change the method being called|Change the logic of the method|change the logic "
floatingActionButtonSpeedDial,7,0,0,0,0,0,0,0,0,0,0,""
jib,19,0,0,0,0,0,0,0,0,0,2,"Changed try body|Changes to data representation"
cache2k-nullaway,4,0,0,0,1,0,9,2,1,0,11,"Rename, not a real change in signature|Rename, not a real change in signature|Rename, not a real change in signature|Change the logic of null check|use of another method with almost same semantics|Logic change/addition|change the logic from returning null to throw exceptions|change the access modifier, not considered a signature change|Interface Introduction/Modification|Added configuration annotation for a tool, counted once|using jsr305 annotations"
picasso,39,0,2,2,5,0,1,5,0,0,10,"change the logic of the method|change the logic of the method|Replacing return null with throwing an exception|Replacing return null with throwing an exception|Replacing return null with throwing an exception|Replacing return null with throwing an exception|Adjust namings|Added a confic annotation|Added a confic annotation|Adjustment related to adding nullchecks"
